paper,category,q_num,q_id,kind,subject,topic,topic_code,surviving_stem_first_120c,page_hint,source_pdf_relpath
IBPS-PO-Mains-2024-Memory-Based-Paper-1st-shift.json,Ibps,109,pyq_61004651a66b3fc1_p111,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,Banks/IBPS PO/mains/IBPS-PO-Mains-2024-Memory-Based-Paper-1st-shift.pdf
IBPS-PO-Mains-2024-Memory-Based-Paper-1st-shift.json,Ibps,110,pyq_61004651a66b3fc1_p112,OPAQUE — empty stem; transcribe Q from PDF,QUANT,percentage,QNT_PCT,,,Banks/IBPS PO/mains/IBPS-PO-Mains-2024-Memory-Based-Paper-1st-shift.pdf
IBPS-PO-Mains-2025-Memory-Based-Paper-12-Oct-2025-English.json,Ibps,86,pyq_c6a47d2e64ee6f59_p1,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,3a%,,Banks/IBPS PO/mains/IBPS-PO-Mains-2025-Memory-Based-Paper-12-Oct-2025-English.pdf
IBPS-PO-Mains-2025-Memory-Based-Paper-12-Oct-2025-English.json,Ibps,87,pyq_c6a47d2e64ee6f59_p2,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,35%,,Banks/IBPS PO/mains/IBPS-PO-Mains-2025-Memory-Based-Paper-12-Oct-2025-English.pdf
IBPS-PO-Mains-2025-Memory-Based-Paper-12-Oct-2025-English.json,Ibps,88,pyq_c6a47d2e64ee6f59_p3,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,50%,,Banks/IBPS PO/mains/IBPS-PO-Mains-2025-Memory-Based-Paper-12-Oct-2025-English.pdf
IBPS-PO-Pre-2025-Memory-Based-Paper-23-Aug-2025-2nd-shift.json,Ibps,85,pyq_87a51c78ccbc0348_p85,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,Banks/IBPS PO/prelims/IBPS-PO-Pre-2025-Memory-Based-Paper-23-Aug-2025-2nd-shift.pdf
IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.json,Ibps,85,pyq_bf49bad72490554f_p85,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,Banks/IBPS PO/prelims/IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.pdf
IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.json,Ibps,86,pyq_bf49bad72490554f_p86,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,Banks/IBPS PO/prelims/IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.pdf
IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.json,Ibps,87,pyq_bf49bad72490554f_p87,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,Banks/IBPS PO/prelims/IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.pdf
IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.json,Ibps,88,pyq_bf49bad72490554f_p88,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,Banks/IBPS PO/prelims/IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.pdf
IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.json,Ibps,89,pyq_bf49bad72490554f_p89,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,Banks/IBPS PO/prelims/IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.pdf
IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.json,Ibps,91,pyq_bf49bad72490554f_p91,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,Banks/IBPS PO/prelims/IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.pdf
IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.json,Ibps,93,pyq_bf49bad72490554f_p93,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,Banks/IBPS PO/prelims/IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.pdf
IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.json,Ibps,94,pyq_bf49bad72490554f_p94,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,Banks/IBPS PO/prelims/IBPS-PO-Pre-2025-Memory-Based-Paper-24-Aug-2025-1st-shift.pdf
RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.json,Rrb,11,pyq_7e3aac66a6bf628e_p11,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,RRB/NTPC/CBT 2/RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.pdf
RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.json,Rrb,19,pyq_7e3aac66a6bf628e_p19,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,RRB/NTPC/CBT 2/RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.pdf
RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.json,Rrb,46,pyq_7e3aac66a6bf628e_p46,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,RRB/NTPC/CBT 2/RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.pdf
RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.json,Rrb,52,pyq_7e3aac66a6bf628e_p52,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,RRB/NTPC/CBT 2/RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.pdf
RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.json,Rrb,55,pyq_7e3aac66a6bf628e_p55,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,RRB/NTPC/CBT 2/RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.pdf
RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.json,Rrb,62,pyq_7e3aac66a6bf628e_p62,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,RRB/NTPC/CBT 2/RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.pdf
RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.json,Rrb,75,pyq_7e3aac66a6bf628e_p75,OPAQUE — empty stem; transcribe Q from PDF,UNCLASSIFIED,,GEN_UNC,,,RRB/NTPC/CBT 2/RRB_NTPC_2024_Under_Graduate_Level_CBT_2_Question_Paper_PDF_English_Dec_20_2025__77d9450a7034b3a06335018d372a5cbc.pdf
